 the iv  	 sayang oov
 mas iv  	 mas iv
 i iv  	 i iv
 know iv  	 know iv
 it is oov  	 it is oov
 wrong iv  	 wrong iv
 but iv  	 but iv
 when iv  	 urge iv
 to iv  	 to iv
 me iv  	 me iv
 . iv  	 . iv
 i am oov  	 i am oov
 not iv  	 not iv
 not iv  	 eating iv
 with iv  	 with iv
 malas iv  	 mess iv
 and iv  	 and iv
 something iv  	 spreading iv
 soal iv  	 smell iv
 things iv  	 things iv
 i am oov  	 i am oov
 just iv  	 just iv
 sekarang iv  	 sharing iv
 my iv  	 my iv
 tonton iv  	 opinion iv
 and iv  	 and iv
 stories iv  	 stories iv
 i am oov  	 i am oov
 just iv  	 just iv
 orang iv  	 hoping iv
 that iv  	 that iv
 does not iv  	 does iv
 the not iv  	 nothing iv
 in iv  	 in iv
 indonesia iv  	 indonesia iv
 . iv  	 . iv
 we iv  	 we iv
 have iv  	 have iv
 our iv  	 our iv
 own iv  	 own iv
 karena iv  	 internet iv
 langsung iv  	 laws iv
 :) iv  	 :) iv
 . iv  	 . iv
 but iv  	 but iv
 keep iv  	 keep iv
 on iv  	 on iv
 something iv  	 fighting iv
 , iv  	 , iv
 because iv  	 because iv
 i iv  	 i iv
 do not oov  	 do not oov
 want iv  	 want iv
 my iv  	 my iv
 the stories oov  	 audience iv
 from iv  	 from iv
 dengan iv  	 europe iv
 sangat iv  	 getting iv
 not iv  	 vetted iv
 by iv  	 by iv
 that iv  	 that iv
 the stories oov  	 pesky iv
 not iv  	 article iv
 . iv  	 . iv
 , iv  	 , iv
 apa iv  	 apa iv
 know iv  	 opinimu iv
 dengan iv  	 mengenai iv
 ternyata iv  	 ternyata iv
 ada iv  	 ada iv
 not iv  	 dis itu oov
 that iv  	 toh iv
 , iv  	 , iv
 selama iv  	 selama iv
 ini iv  	 ini iv
 tidak oov  	 tidak oov
 pernah iv  	 pernah iv
 lain iv  	 lihat oov
 itu iv  	 itu iv
 . iv  	 . iv
 on iv  	 oh iv
 well iv  	 well iv
 the kasih oov  	 yasudahlah iv
 tapi iv  	 tapi iv
 semoga iv  	 semoga iv
 yang iv  	 yang iv
 kali iv  	 kali iv
 ini iv  	 ini iv
 tidak oov  	 tidak oov
 kena iv  	 kena iv
 saja iv  	 pajak iv
 dulu iv  	 dulu iv
 , iv  	 , iv
 kasih iv  	 shock iv
 saja oov  	 saja oov
 tiba-tiba iv  	 tiba iv
 kena iv  	 kena iv
 saja iv  	 pajak iv
 that iv  	 hhhh iv
 . iv  	 . iv
 tahu oov  	 tau iv
 tidak oov  	 tidak oov
 kalau oov  	 kalau oov
 mau iv  	 mau iv
 terus iv  	 tulis iv
 the not oov  	 notes iv
 memang oov  	 gm iv
 di iv  	 di mana oov
 ? iv  	 ? iv
 buat iv  	 buat iv
 terus iv  	 tulis iv
 lain iv  	 npwp iv
 soalnya iv  	 soalnya iv
 just iv  	 just iv
 in iv  	 in iv
 case iv  	 case iv
 not iv  	 not iv
 in iv  	 in iv
 good iv  	 good iv
 not iv  	 mood iv
 . iv  	 . iv
 seperti iv  	 sehat iv
 kan iv  	 kan iv
 cause iv  	 calon iv
 untuk iv  	 ponakanku iv
 ? iv  	 ? iv
 well iv  	 well iv
 the iv  	 noted iv
 . iv  	 . iv
 mau iv  	 mau iv
 lihat oov  	 lihat oov
 orang iv  	 jisung iv
 , iv  	 , iv
 mau iv  	 doyum iv
 , iv  	 , iv
 not iv  	 taewoo iv
 the iv  	 actually iv
 mau iv  	 mau iv
 lihat iv  	 lihat iv
 ke iv  	 ke iv
 all iv  	 9 iv
 nya iv  	 nya iv
 mau iv  	 uwu iv
 . iv  	 . iv
 well iv  	 well iv
 , iv  	 , iv
 kalau oov  	 kalau oov
 tidak oov  	 tidak oov
 mau iv  	 mau iv
 not iv  	 ditembak iv
 , iv  	 , iv
 jangan iv  	 jangan iv
 pernah iv  	 pernah iv
 kasih iv  	 kasih iv
 tetap oov  	 kesempatan iv
 dong iv  	 dong iv
 . iv  	 . iv
 cowok iv  	 cowok iv
 paham iv  	 paham iv
 jika iv  	 jika iv
 memang iv  	 memang iv
 cewek iv  	 cewek iv
 itu iv  	 itu iv
 tidak oov  	 tidak oov
 bisa iv  	 bisa iv
 untuk iv  	 untuk iv
 not iv  	 ditembak iv
 . iv  	 . iv
 dan iv  	 dan iv
 kalau oov  	 kalau oov
 dia iv  	 dia iv
 , iv  	 ganggu iv
 , iv  	 , iv
 cuma oov  	 diemin iv
 jakarta iv  	 ajalah iv
 selesai iv  	 selesai iv
 habis iv  	 urusan iv
 well iv  	 well iv
 , iv  	 , iv
 1 iv  	 1 iv
 kartu iv  	 kartu iv
 cuma iv  	 cuma iv
 pakai oov  	 pakai oov
 kan iv  	 ktp iv
 is iv  	 is iv
 a iv  	 a iv
 dengan iv  	 great iv
 it iv  	 idea iv
 . iv  	 . iv
 saya oov  	 saya oov
 & iv  	 & iv
 oov  	 teman-teman oov
 pernah iv  	 pernah iv
 not oov  	 ngobrolin iv
 itu iv  	 itu iv
 sudah oov  	 sudah oov
 lama iv  	 lama iv
 sangat oov  	 sangat oov
 of iv  	 [ iv
 pikir iv  	 line iv
 ] iv  	 ] iv
 . iv  	 . iv
 + iv  	 + iv
 cause iv  	 excuse iv
 me iv  	 me iv
 . iv  	 . iv
 + iv  	 + iv
 i iv  	 i iv
 up iv  	 should iv
 be iv  	 be iv
 the iv  	 the iv
 one iv  	 one iv
 who iv  	 who iv
 said iv  	 said iv
 that iv  	 that iv
 to iv  	 to iv
 you iv  	 you iv
 . iv  	 . iv
 + iv  	 + iv
 my iv  	 my iv
 dear iv  	 dear iv
 iya iv  	 little oov
 brother iv  	 brother iv
 . iv  	 . iv
 + iv  	 + iv
 eh iv  	 eh iv
 by iv  	 by iv
 the iv  	 the iv
 way iv  	 way iv
 . iv  	 . iv
 + iv  	 + iv
 kemarin iv  	 kemarin iv
 kan iv  	 kan iv
 dengan iv  	 abang iv
 that iv  	 datang iv
 ke iv  	 ke iv
 set iv  	 set iv
 orang iv  	 syuting iv
 , iv  	 , iv
 terus iv  	 terus iv
 begini iv  	 iseng iv
 foto iv  	 foto iv
 . iv  	 . iv
 + iv  	 + iv
 tidak oov  	 ganteng iv
 tidak oov  	 tidak oov
 ? iv  	 ? iv
 . iv  	 . iv
 + iv  	 + iv
 see iv  	 see iv
 ? iv  	 ? iv
 a iv  	 a iv
 the iv  	 crowd iv
 please iv  	 pleaser iv
 . iv  	 . iv
 mana iv  	 mana iv
 itu iv  	 itu iv
 semua iv  	 semua iv
 yang oov  	 yang oov
 not iv  	 komplain iv
 soal iv  	 soal iv
 . iv  	 . iv
 this iv  	 this iv
 is iv  	 is iv
 a iv  	 a iv
 iv  	 family iv
 not iv  	 movie iv
 . iv  	 . iv
 what iv  	 what iv
 do iv  	 do iv
 you iv  	 you iv
 to iv  	 expect iv
 ? iv  	 ? iv
 . iv  	 . iv
 this iv  	 this iv
 film iv  	 film iv
 oke iv  	 serve iv
 the iv  	 the iv
 perlu iv  	 purpose iv
 to iv  	 to iv
 tonton iv  	 entertain iv
 the iv  	 young iv
 not iv  	 children iv
 life iv  	 life iv
 is iv  	 is iv
 like iv  	 like iv
 a iv  	 a iv
 perlu iv  	 phone iv
 sekarang iv  	 call iv
 with iv  	 with iv
 a iv  	 a iv
 not iv  	 loved iv
 one iv  	 one iv
 . iv  	 . iv
 when iv  	 when iv
 it iv  	 it iv
 is iv  	 is iv
 cut iv  	 cut iv
 not iv  	 short iv
 , iv  	 , iv
 we iv  	 we iv
 kalian iv  	 realize iv
 how iv  	 how iv
 tahun iv  	 much iv
 of iv  	 of iv
 it iv  	 it iv
 we iv  	 we iv
 have iv  	 have iv
 what iv  	 waster oov
 - iv  	 - iv
 langsung iv  	 klbseagul iv
 ( iv  	 ( iv
 hidup iv  	 hidup iv
 itu iv  	 itu iv
 it iv  	 ibarat iv
 dengan iv  	 telepon iv
 dari iv  	 dari iv
 sana iv  	 sang iv
 oke iv  	 kekasih iv
 . iv  	 . iv
 ketika iv  	 ketika iv
 stories iv  	 terputus iv
 tiba-tiba iv  	 tiba-tiba iv
 , iv  	 , iv
 kita iv  	 kita iv
 sadar iv  	 sadar iv
 sampai iv  	 berapa iv
 banyak iv  	 banyak iv
 waktu iv  	 waktu iv
 yang iv  	 yang iv
 telah iv  	 telah iv
 the stories iv  	 disia-siakan iv
 ) iv  	 ) iv
 terima kasih iv  	 waalaikumsalam iv
 , iv  	 , iv
 . iv  	 . iv
 not iv  	 not iv
 really iv  	 really iv
 ~ iv  	 ~ iv
 bulannya iv  	 mutualan iv
 sudah iv  	 ayo oov
 karena oov  	 kak oov
 . iv  	 . iv
 btw iv  	 btw iv
 , iv  	 , iv
 thanks iv  	 thanks iv
 for iv  	 for iv
 this iv  	 this iv
 the stories oov  	 giveaway oov
 . iv  	 . iv
 ingin oov  	 ingin oov
 sangat oov  	 sangat oov
 tapi iv  	 pc iv
 they iv  	 taehyung iv
 waktu iv  	 uwuu oov
 on iv  	 oh iv
 iya iv  	 iya iv
 lupa iv  	 lupa iv
 someone iv  	 salam iv
 , iv  	 , iv
 sebelum iv  	 assalamualaikum iv
 . iv  	 . iv
 the are oov  	 bridging oov
 kita iv  	 dikit iv
 . iv  	 . iv
 i am oov  	 i am oov
 back iv  	 back iv
 it is iv  	 tweeps iv
 iya iv  	 iya iv
 saya oov  	 saya oov
 terima iv  	 terima iv
 saya oov  	 saya oov
 di iv  	 di iv
 mana iv  	 mute iv
 sama iv  	 sama iv
 kamu oov  	 kamu oov
 , iv  	 , iv
 saya oov  	 saya oov
 di iv  	 di iv
 di iv  	 hidden iv
 sama iv  	 sama iv
 kamu oov  	 kamu oov
 . iv  	 . iv
 hmm iv  	 hmm iv
 why iv  	 why iv
 you oov  	 you oov
 it oov  	 lihat-lihat oov
 is oov  	 insta iv
 stories iv  	 storie iv
 saya oov  	 saya oov
 ? iv  	 ? iv
 hmm iv  	 hmm iv
 kangen iv  	 kangen iv
 ya oov  	 ya oov
 :) iv  	 :) iv
 the iv  	 nflying iv
 not iv  	 rooftop iv
 i iv  	 is oov
 langsung iv  	 playing iv
 in iv  	 in iv
 an iv  	 an iv
 the not oov  	 indomaret iv
 when iv  	 near iv
 my iv  	 my iv
 please iv  	 place iv
 dia iv  	 dia iv
 terlalu iv  	 terlalu iv
 suka iv  	 suka iv
 debat iv  	 debat iv
 , iv  	 , iv
 saya oov  	 saya oov
 the stories oov  	 orangnya iv
 not iv  	 slow oov
 . iv  	 . iv
 if iv  	 if iv
 i iv  	 i iv
 the stories oov  	 did iv
 something iv  	 something iv
 yang iv  	 yang iv
 dia iv  	 dia iv
 tidak suka oov  	 tidak suka oov
 , iv  	 , iv
 dia iv  	 dia iv
 balas iv  	 bakalan oov
 menemukan iv  	 memulai iv
 not iv  	 perdebatan iv
 yang iv  	 yang iv
 kelihatan iv  	 melelahkan iv
 dan iv  	 dan iv
 saya oov  	 saya oov
 akan iv  	 akan iv
 langsung oov  	 langsung oov
 okay oov  	 ok iv
 , iv  	 , iv
 i am oov  	 i am oov
 because iv  	 busy iv
 , iv  	 , iv
 langsung iv  	 let us oov
 tak iv  	 talk iv
 not iv  	 later iv
 sudah oov  	 sudah oov
 saya oov  	 saya oov
 cuma oov  	 diemin iv
 . iv  	 . iv
 sudah oov  	 sudah oov
 , iv  	 tenang iv
 saya oov  	 saya oov
 bisa oov  	 bisa oov
 lihat oov  	 lihat oov
 dengan iv  	 yedam iv
 itu iv  	 senyum iv
 , iv  	 , iv
 yang oov  	 yang oov
 sangat iv  	 penting oov
 dia iv  	 dia iv
 tidak apa-apa oov  	 tidak apa-apa oov
 . iv  	 . iv
 his iv  	 his iv
 some iv  	 smile iv
 that iv  	 that iv
 when iv  	 enough oov
 for iv  	 for iv
 me iv  	 me iv
 | iv  	 | iv
 | iv  	 | iv
 not iv  	 halo oov
 , iv  	 , iv
 manis iv  	 manis iv
 ! iv  	 ! iv
 . iv  	 . iv
 follow iv  	 follow iv
 back iv  	 back iv
 aku iv  	 aku iv
 , iv  	 , iv
 yuk iv  	 yuk iv
 ? iv  	 ? iv
 bisa iv  	 dijamin iv
 ambil iv  	 tidak bakal oov
 life iv  	 nyesel iv
 , iv  	 , iv
 deh iv  	 deh iv
 ! iv  	 ! iv
 it is iv  	 invest iv
 on iv  	 on iv
 not iv  	 culture iv
 : iv  	 : iv
 saat iv  	 saat iv
 mengerti oov  	 dengar oov
 itu iv  	 itu iv
 yang oov  	 yang oov
 the stories oov  	 terlintas iv
 pasti iv  	 pasti iv
 free iv  	 free iv
 some iv  	 snack iv
 tiap iv  	 tiap iv
 ulang iv  	 lunch iv
 , iv  	 , iv
 not iv  	 fossball iv
 / iv  	 / iv
 oke iv  	 sepak iv
 not iv  	 bola iv
 when iv  	 meja iv
 , iv  	 , iv
 menunggu iv  	 ruang iv
 main iv  	 main iv
 ? iv  	 game iv
 , iv  	 , iv
 not iv  	 bantal iv
 duduk iv  	 duduk iv
 , iv  	 , iv
 when iv  	 wallpaper iv
 kantor iv  	 kantor iv
 when iv  	 warna iv
 when iv  	 warni iv
 . iv  	 . iv
 itu iv  	 itu iv
 karena iv  	 perintilan iv
 , iv  	 , iv
 orang iv  	 orang-orang iv
 it is oov  	 skip oov
 sangat iv  	 bagian iv
 the stories oov  	 terpenting iv
 , iv  	 , iv
 manusia iv  	 manusia iv
 itu iv  	 itu iv
 sendiri iv  	 sendiri iv
 . iv  	 . iv
 dengan iv  	 great iv
 sangat iv  	 insight iv
 from iv  	 from iv
 mana iv  	 mr. iv
 are iv  	 gary iv
 the stories oov  	 vaynerchuk iv
 when iv  	 when iv
 yuk oov  	 you oov
 tidak ada oov  	 tidak ada oov
 kerjaan iv  	 kerjaan iv
 tapi iv  	 tapi iv
 sebelum iv  	 sebelah iv
 kamu oov  	 kamu oov
 perlu iv  	 persis iv
 bos iv  	 bos iv
 kamu oov  	 kamu oov
 perlu iv  	 persis iv
 not iv  	 mepet iv
 cause iv  	 cui iv
 dengan oov  	 ngapain iv
 ya iv  	 ya iv
 aku iv  	 aku iv
 lagu iv  	 lagu iv
 when iv  	 when iv
 the iv  	 the iv
 the stories iv  	 partys iv
 only iv  	 over iv
 dari iv  	 dari iv
 not iv  	 billie iv
 ini iv  	 ini iv
 not iv  	 bercerita iv
 tentang iv  	 tentang iv
 makanya iv  	 muaknya iv
 not iv  	 billie iv
 dengan iv  	 dengan iv
 kasih iv  	 kisah iv
 karena oov  	 percintaan iv
 loh iv  	 loh iv
 , iv  	 , iv
 please iv  	 blisteners iv
 ! iv  	 ! iv
 dan iv  	 dan iv
 ternyata iv  	 ternyata iv
 cerita iv  	 cairan iv
 it iv  	 hitam oov
 yang iv  	 yang iv
 jadi iv  	 jadi iv
 air iv  	 air iv
 adalah iv  	 mata iv
 di iv  	 di iv
 video iv  	 video iv
 lain iv  	 klip iv
 ini iv  	 ini iv
 masuk iv  	 masuk iv
 ke iv  	 ke iv
 adalah iv  	 mata iv
 not iv  	 billie iv
 oke iv  	 eilish iv
 ! iv  	 ! iv
 saya oov  	 saya oov
 suka iv  	 suka iv
 adalah iv  	 heran iv
 sama oov  	 sama oov
 yang oov  	 yang oov
 perlu iv  	 upload iv
 sekarang oov  	 sg iv
 terus oov  	 terus oov
 ada iv  	 ada iv
 tulisan iv  	 tulisan iv
 yang oov  	 yang oov
 the stories oov  	 kecilnya iv
 kaya iv  	 seperti oov
 mau iv  	 atom iv
 . iv  	 . iv
 gimana iv  	 gimana iv
 the oov  	 woy iv
 tanya iv  	 bacanya iv
 the stories oov  	 maksudnya iv
 apa iv  	 apa iv
 ? iv  	 ? iv
 kasih oov  	 share oov
 2 iv  	 setengah-setengah oov
 mending iv  	 mending iv
 sudah oov  	 tidak usah oov
 not iv  	 update oov
 to iv  	 to iv
 ya oov  	 ya oov
 ) iv  	 :))) iv
 ready iv  	 ready iv
 in iv  	 in iv
 not iv  	 stock iv
 : iv  	 : iv
 * iv  	 ** iv
 the iv  	 brand iv
 new iv  	 new iv
 * iv  	 * iv
 * iv  	 * iv
 not iv  	 schecter iv
 saja iv  	 japan iv
 they iv  	 bh1 iv
 selalu oov  	 std iv
 2 iv  	 24 iv
 that is iv  	 trans iv
 ready iv  	 red iv
 di iv  	 include oov
 orang iv  	 original iv
 the stories iv  	 hardcase iv
 . iv  	 . iv
 karena iv  	 kabar iv
 not iv  	 gembira iv
 guys iv  	 guys iv
 , iv  	 , iv
 sekarang iv  	 sekarang iv
 not iv  	 schecter iv
 saja iv  	 japan iv
 telah iv  	 telah iv
 hadir iv  	 hadir iv
 di iv  	 di iv
 . iv  	 . iv
 mana iv  	 mari iv
 3 iv  	 bergabung iv
 bersama iv  	 bersama iv
 not iv  	 daarul iv
 you are oov  	 qur'an iv
 . iv  	 . iv
 dibuka iv  	 dibuka iv
 not iv  	 recruitment iv
 . iv  	 . iv
 1 iv  	 1 iv
 . iv  	 . iv
 life iv  	 chef iv
 karena iv  	 kantin iv
 . iv  	 . iv
 2 iv  	 2 iv
 . iv  	 . iv
 - iv  	 staff iv
 it iv  	 marketing iv
 . iv  	 . iv
 3 iv  	 3 iv
 . iv  	 . iv
 - iv  	 staff iv
 mau iv  	 daqu iv
 martabak iv  	 marta iv
 . iv  	 . iv
 4 iv  	 4 iv
 . iv  	 . iv
 driver iv  	 driver iv
 . iv  	 . iv
 mau iv  	 daqu iv
 is iv  	 bisnis iv
 kasih oov  	 nusantara iv
 ( iv  	 ( iv
 mana oov  	 dbn iv
 ) iv  	 ) iv
 . iv  	 . iv
 the stories oov  	 persyaratan iv
 : iv  	 : iv
 . iv  	 . iv
 - iv  	 - iv
 muslim iv  	 muslim iv
 / iv  	 / iv
 . iv  	 . iv
 pakai iv  	 pakai iv
 not iv  	 heattech iv
 dan iv  	 dan iv
 jakarta iv  	 jaket iv
 when iv  	 wol iv
 di iv  	 di iv
 siang iv  	 siang iv
 hari iv  	 hari iv
 jakarta iv  	 jakarta iv
 ya oov  	 raya iv
 adalah iv  	 adalah iv
 cara iv  	 cara iv
 paling iv  	 paling iv
 mudah iv  	 mudah iv
 mereka iv  	 menarik iv
 perhatian iv  	 perhatian iv
 . iv  	 . iv
 well iv  	 well iv
 , iv  	 , iv
 here iv  	 here iv
 i iv  	 i iv
 am iv  	 am iv
 . iv  	 . iv
 - iv  	 -_- iv
 keep iv  	 keep iv
 sebenarnya iv  	 sabar oov
 stories iv  	 sis iv
 . iv  	 . iv
 the iv  	 akun iv
 back iv  	 back iv
 up iv  	 up iv
 aku iv  	 aku iv
 juga oov  	 juga oov
 sudah oov  	 sudah oov
 lama iv  	 lama iv
 tidak oov  	 tidak oov
 bisa iv  	 bisa iv
 dibuka iv  	 dibuka iv
 . iv  	 . iv
 kalau oov  	 kalau oov
 mau iv  	 mau iv
 masuk iv  	 masuk iv
 ig iv  	 ig iv
 selalu iv  	 selalu iv
 minta iv  	 minta iv
 the stories oov  	 password iv
 baru iv  	 baru iv
 terus oov  	 terus oov
 adalah iv  	 padahal oov
 aku iv  	 aku iv
 tidak oov  	 tidak oov
 nih iv  	 prnh iv
 what oov  	 ganti-ganti oov
 the stories oov  	 password iv
 . iv  	 . iv
 on iv  	 oh iv
 iya iv  	 iya iv
 ! iv  	 ! iv
 mana iv  	 mari iv
 kita iv  	 kita iv
 mulai iv  	 mulai iv
 dulu iv  	 dulu iv
 . iv  	 . iv
 let us oov  	 let us oov
 get iv  	 get iv
 langsung iv  	 along iv
 well iv  	 well iv
 not iv  	 noah iv
 coba iv  	 cowok oov
 not iv  	 positive iv
 it is iv  	 thinking iv
 pasti iv  	 pasti iv
 bilang iv  	 bilang iv
 " iv  	 " iv
 apa iv  	 apa iv
 an iv  	 an iv
 si iv  	 sii iv
 , iv  	 , iv
 tidak oov  	 tidak oov
 malas iv  	 jelas oov
 " iv  	 " iv
 . iv  	 . iv
 coba iv  	 cowok oov
 what iv  	 negative iv
 it is iv  	 thinking iv
 pasti iv  	 pasti iv
 bilang iv  	 bilang iv
 " iv  	 " iv
 when iv  	 heh iv
 , iv  	 , iv
 kamu iv  	 kamu iv
 harus iv  	 disuruh iv
 siapa iv  	 siapa iv
 nanti oov  	 kirim-kirim oov
 kaya iv  	 seperti oov
 begini oov  	 begini oov
 , iv  	 , iv
 pasti iv  	 pasti iv
 kamu iv  	 kamu iv
 salah iv  	 salah iv
 i will iv  	 kirim iv
 kan iv  	 kan iv
 , iv  	 , iv
 untuk iv  	 mengaku oov
 saja oov  	 saja oov
 sudah oov  	 sudah oov
 , iv  	 , iv
 lagi oov  	 lagi oov
 selingkuh iv  	 selingkuh iv
 kan iv  	 kan iv
 kamu oov  	 kamu oov
 not iv  	 anjing oov
 " iv  	 " iv
 mending iv  	 mending iv
 kasih iv  	 humoris iv
 apa iv  	 apa iv
 menangis iv  	 romantis iv
 ( iv  	 ( iv
 ? iv  	 ? iv
 ) iv  	 ) iv
 not iv  	 during iv
 the iv  	 the iv
 orang iv  	 opening iv
 of iv  	 of iv
 a iv  	 a iv
 sebenarnya iv  	 seminar iv
 i iv  	 i iv
 the stories oov  	 attended iv
 the stories oov  	 yesterday iv
 : iv  	 : iv
 . iv  	 . iv
 * iv  	 * iv
 it iv  	 image iv
 of iv  	 of iv
 karena oov  	 ken iv
 dengan iv  	 yeang iv
 , iv  	 , iv
 an iv  	 an iv
 the stories oov  	 architect iv
 , iv  	 , iv
 di iv  	 appeared iv
 * iv  	 * iv
 . iv  	 . iv
 my iv  	 my iv
 the not iv  	 office iv
 mana iv  	 mate iv
 : iv  	 : iv
 * iv  	 * iv
 the stories oov  	 whispers iv
 * iv  	 * iv
 " iv  	 " iv
 kalau oov  	 kalau oov
 habis oov  	 habis oov
 makan iv  	 makan iv
 jadi iv  	 jadi iv
 apa iv  	 apa iv
 ? iv  	 ? iv
 karena oov  	 ken iv
 dengan iv  	 yeang iv
 . iv  	 . iv
 " iv  	 " iv
 . iv  	 . iv
 hehe iv  	 hehe iv
 . iv  	 . iv
 there iv  	 hehehe iv
 . iv  	 . iv
 the stories oov  	 heheheheheilovemyofficematestheyrethereasonistaysane iv
 and iv  	 and iv
 the iv  	 the iv
 the iv  	 fact iv
 is iv  	 is iv
 that iv  	 that iv
 this iv  	 this iv
 not iv  	 simple iv
 thing iv  	 thing iv
 the oov  	 happened iv
 in iv  	 in iv
 my iv  	 my iv
 iv  	 family iv
 , iv  	 , iv
 dan iv  	 dan iv
 tentang iv  	 tetangga iv
 / iv  	 / iv
 kasih iv  	 masyarakat oov
 the iv  	 accepted iv
 kok oov  	 ko iv
 . iv  	 . iv
 not iv  	 not iv
 mau iv  	 pout iv
 . iv  	 . iv
 mungkin iv  	 mungkin iv
 tentang iv  	 tetangga iv
 saya oov  	 w iv
 lebih iv  	 lebih iv
 the no iv  	 open-mind iv
 wkwkwk iv  	 wkwkwk iv
 iya iv  	 iyasih iv
 tiap iv  	 tiap iv
 isi iv  	 isi iv
 dengan iv  	 kepala iv
 be oov  	 beda-beda oov
 , iv  	 , iv
 the apa-apa oov  	 pendapat iv
 on iv  	 berbeda iv
 , iv  	 , iv
 balik iv  	 balik iv
 lagi oov  	 lagi oov
 ke iv  	 ke iv
 pada iv  	 pribadi iv
 menangis oov  	 masing-masing oov
 mau iv  	 mau iv
 the stories oov  	 nyikapinnya iv
 memang oov  	 gimana oov
 the is iv  	 sopan iv
 kasih iv  	 gasih iv
 suruh oov  	 suruh oov
 cuma iv  	 customer iv
 it oov  	 gc iv
 seperti oov  	 seperti oov
 begini oov  	 begini oov
 ? iv  	 ? iv
 . iv  	 . iv
 i iv  	 i iv
 mean iv  	 mean iv
 that iv  	 toh iv
 kamu oov  	 kamu oov
 juga oov  	 juga oov
 baru iv  	 baru iv
 dengan oov  	 datang oov
 sempat iv  	 semenit iv
 pak iv  	 pak iv
 saya oov  	 saya oov
 juga oov  	 juga oov
 langsung oov  	 balas oov
 saat iv  	 saat iv
 itu iv  	 itu iv
 juga oov  	 juga oov
 . iv  	 . iv
 terus oov  	 terus oov
 harus iv  	 disuruh iv
 ' iv  	 ' iv
 it oov  	 gc iv
 ' iv  	 ' iv
 ( iv  	 ( iv
 tidak oov  	 gerak iv
 cepat iv  	 cepat iv
 ) iv  	 ) iv
 ? iv  	 ? iv
 karena iv  	 train iv
 your iv  	 your iv
 driver iv  	 driver iv
 well iv  	 well iv
 thank iv  	 thank iv
 you iv  	 you iv
 , iv  	 , iv
 to iv  	 next iv
 okay oov  	 ok iv
 , iv  	 , iv
 oke iv  	 sekian iv
 untuk iv  	 untuk iv
 hari iv  	 hari iv
 ini iv  	 ini iv
 . iv  	 . iv
 i will oov  	 i will oov
 be iv  	 be iv
 back iv  	 back iv
 for iv  	 for iv
 video iv  	 video oov
 and iv  	 and iv
 not iv  	 metube iv
 . iv  	 . iv
 tapi iv  	 tapi iv
 belum iv  	 belum iv
 tahu iv  	 tahu iv
 kapan iv  	 kapan iv
 . iv  	 . iv
 see iv  	 see iv
 ya iv  	 ya iv
 . iv  	 . iv
 iya iv  	 iya iv
 langsung iv  	 nanggung iv
 not iv  	 resiko iv
 karena oov  	 karena oov
 pernah iv  	 pernah iv
 teman iv  	 temanan oov
 sama iv  	 sama iv
 seorang iv  	 seorang iv
 saja oov  	 jjy iv
 . iv  	 . iv
 they are oov  	 they iv
 are iv  	 are iv
 just iv  	 just iv
 mana iv  	 bet iv
 not iv  	 between iv
 friends iv  	 friends iv
 not iv  	 not iv
 jangan iv  	 gambling iv
 . iv  	 . iv
 tidak oov  	 tidak oov
 mungkin iv  	 merugikan iv
 orang iv  	 orang iv
 lain iv  	 lain iv
 begitu oov  	 begitu oov
 . iv  	 . iv
 tapi oov  	 tapi oov
 mereka iv  	 mereka iv
 masih iv  	 masih iv
 punya iv  	 punya iv
 rasa iv  	 rasa iv
 when iv  	 bersalah iv
 dan iv  	 dan iv
 langsung iv  	 tanggung iv
 jawab iv  	 jawab iv
 . iv  	 . iv
 terus oov  	 terus oov
 itu iv  	 itu iv
 yang oov  	 yang oov
 not iv  	 dibarak iv
 apa iv  	 apa iv
 karena iv  	 kabar iv
 oke iv  	 oi iv
 ? iv  	 ? iv
 masih iv  	 masih iv
 langsung iv  	 nyangkal iv
 dengan oov  	 dan oov
 sangat iv  	 anteng iv
 saja oov  	 saja oov
 begitu oov  	 begitu oov
 ? iv  	 ? iv
 that is oov  	 that is oov
 not iv  	 coward iv
 ! iv  	 ! iv
 hai iv  	 hai iv
 tahu iv  	 put iv
 , iv  	 , iv
 tahu iv  	 put iv
 apa iv  	 apa iv
 nih iv  	 nih iv
 ? iv  	 ? iv
 tahu iv  	 put iv
 your iv  	 your iv
 the not iv  	 hands iv
 up iv  	 up iv
 ? iv  	 ? iv
 all iv  	 all iv
 is iv  	 is iv
 well iv  	 well iv
 by iv  	 baby iv
 jangan oov  	 jangan oov
 lupa iv  	 lupa iv
 banyak iv  	 banyak iv
 that iv  	 doa iv
 dan iv  	 dan iv
 hari iv  	 istighfar iv
 ya oov  	 ya oov
 , iv  	 , iv
 perlu iv  	 peluk iv
 begini iv  	 online iv
 dari iv  	 dari iv
 jatuh iv  	 jauh oov
 habis oov  	 habis oov
 kalian iv  	 klaim iv
 bagus iv  	 bpjs iv
 jakarta oov  	 ketengakerjaan iv
 via iv  	 via iv
 begini iv  	 online iv
 , iv  	 , iv
 gampang iv  	 gampang iv
 & iv  	 & iv
 sekadar iv  	 semudah iv
 itu iv  	 itu iv
 . iv  	 . iv
 tidak oov  	 tidak oov
 menunggu oov  	 menunggu oov
 lama iv  	 lama iv
 antri iv  	 antri iv
 terus oov  	 terus oov
 do not oov  	 dilayani iv
 tidak oov  	 tidak oov
 sampai oov  	 sampai oov
 10 iv  	 10 iv
 menangis iv  	 menit iv
